gene	inheritance	severe
AAAS	AR	yes
AARS1	AR	no
AARS2	AR	yes
AASS	AR	no
ABAT	AR	yes
ABCA1	AR	yes
ABCA12	AR	no
ABCA2	AR	no
ABCA3	AR	yes
ABCA4	AR	no
ABCA5	AR	no
ABCB1	AR	yes
ABCB11	AR	yes
ABCB4	AR	yes
ABCB7	XL	no
ABCC2	AR	no
ABCC6	AR	yes
ABCC8	AR	yes
ABCC9	AR	yes
ABCD1	XL	yes
ABCD3	AR	yes
ABCD4	AR	yes
ABCG5	AR	yes
ABCG8	AR	yes
ABHD12	AR	no
ABHD16A	AR	no
ABHD5	AR	no
ACACA	AR	yes
ACAD8	AR	yes
ACAD9	AR	yes
ACADM	AR	yes
ACADS	AR	yes
ACADSB	AR	no
ACADVL	AR	yes
ACAT1	AR	yes
ACBD5	AR	no
ACBD6	AR	no
ACD	AR	yes
ACE	AR	yes
ACER3	AR	no
ACKR3	AR	no
ACO2	AR	no
ACOX2	AR	yes
ACP4	AR	no
ACP5	AR	yes
ACR	AR	no
ACSF3	AR	yes
ACSL4	XL	no
ACTA1	AR	no
ACTL6B	AR	no
ACTL7A	AR	no
ACTL9	AR	no
ACTN3	AR	no
ACY1	AR	no
ADA	AR	yes
ADA2	AR	yes
ADAM17	AR	yes
ADAM22	AR	no
ADAM9	AR	no
ADAMTS10	AR	yes
ADAMTS13	AR	yes
ADAMTS15	AR	no
ADAMTS17	AR	yes
ADAMTS18	AR	no
ADAMTS19	AR	yes
ADAMTS2	AR	yes
ADAMTS3	AR	yes
ADAMTSL2	AR	yes
ADAMTSL4	AR	yes
ADAR	AR	no
ADARB1	AR	no
ADAT3	AR	no
ADCY1	AR	yes
ADCY3	AR	no
ADCY5	AR	yes
ADCY6	AR	no
ADD3	AR	no
ADGRG1	AR	no
ADGRG2	XL	no
ADGRG6	AR	no
ADGRV1	AR	yes
ADPRS	AR	no
ADSL	AR	no
ADSS1	AR	no
AEBP1	AR	yes
AFF2	XL	yes
AFG3L2	AR	no
AFP	AR	no
AGA	AR	no
AGBL5	AR	no
AGK	AR	yes
AGL	AR	yes
AGMX2	XL	yes
AGPAT2	AR	yes
AGPS	AR	no
AGRN	AR	yes
AGRP	AR	yes
AGT	AR	no
AGTPBP1	AR	no
AGTR1	AR	no
AGTR2	XL	no
AGXT	AR	yes
AGXT2	AR	no
AHCY	AR	yes
AHI1	AR	no
AHR	AR	no
AHSG	AR	no
AICDA	AR	yes
AIFM1	XL	yes
AIMP1	AR	no
AIMP2	AR	no
AIPL1	AR	no
AIRE	AR	yes
AK1	AR	yes
AK2	AR	yes
AK7	AR	no
AK9	AR	no
AKAP3	AR	no
AKR1C2	AR	yes
AKR1D1	AR	yes
ALAD	AR	yes
ALAS2	XL	yes
ALB	AR	yes
ALDH18A1	AR	no
ALDH1A2	AR	yes
ALDH1A3	AR	no
ALDH3A2	AR	no
ALDH4A1	AR	no
ALDH5A1	AR	no
ALDH6A1	AR	yes
ALDH7A1	AR	yes
ALDOA	AR	yes
ALDOB	AR	yes
ALG1	AR	yes
ALG11	AR	yes
ALG12	AR	yes
ALG13	XL	no
ALG14	AR	yes
ALG2	AR	yes
ALG3	AR	yes
ALG6	AR	yes
ALG8	AR	yes
ALG9	AR	yes
ALKBH8	AR	no
ALMS1	AR	yes
ALOX12B	AR	no
ALOXE3	AR	no
ALPK3	AR	yes
ALPL	AR	yes
ALS2	AR	no
ALX1	AR	no
ALX3	AR	no
ALX4	AR	no
AMACR	AR	yes
AMBN	AR	no
AMCN	AR	no
AMELX	XL	no
AMER1	XL	no
AMFR	AR	no
AMH	AR	yes
AMHR2	AR	yes
AMMECR1	XL	yes
AMN	AR	yes
AMPD1	AR	no
AMPD2	AR	no
AMPD3	AR	no
AMT	AR	yes
ANAPC1	AR	yes
ANAPC7	AR	yes
ANGPTL3	AR	no
ANK1	AR	yes
ANK3	AR	no
ANKLE2	AR	no
ANKS6	AR	yes
ANO1	AR	yes
ANO10	AR	no
ANO6	AR	yes
ANOS1	XL	yes
ANTXR1	AR	no
ANTXR2	AR	yes
AOPEP	AR	no
AP1B1	AR	no
AP1G1	AR	no
AP1S1	AR	yes
AP1S2	XL	no
AP3B1	AR	yes
AP3B2	AR	no
AP3D1	AR	yes
AP4B1	AR	no
AP4E1	AR	no
AP4M1	AR	no
AP4S1	AR	no
AP5Z1	AR	no
APC2	AR	no
APOA1	AR	yes
APOA2	AR	no
APOA5	AR	yes
APOB	AR	yes
APOC2	AR	yes
APOE	AR	yes
APRT	AR	yes
APTX	AR	no
AQP2	AR	yes
AQP4	AR	no
AR	XL	yes
ARFGEF2	AR	no
ARG1	AR	yes
ARHGAP36	XL	yes
ARHGDIA	AR	no
ARHGEF1	AR	yes
ARHGEF18	AR	no
ARHGEF2	AR	no
ARHGEF6	XL	no
ARHGEF9	XL	no
ARL13B	AR	no
ARL2BP	AR	no
ARL3	AR	no
ARL6	AR	yes
ARL6IP1	AR	no
ARMC12	AR	no
ARMC2	AR	no
ARMC9	AR	yes
ARNT2	AR	yes
ARPC1B	AR	yes
ARPC5	AR	yes
ARR3	XL	no
ARSA	AR	yes
ARSB	AR	yes
ARSG	AR	no
ARSK	AR	yes
ARSL	XL	no
ARV1	AR	no
ARX	XL	no
ASAH1	AR	no
ASCC3	AR	no
ASL	AR	yes
ASNS	AR	yes
ASPA	AR	no
ASPH	AR	yes
ASPM	AR	no
ASS1	AR	yes
ASTL	AR	no
ATAD1	AR	yes
ATAD3A	AR	no
ATCAY	AR	no
ATF6	AR	no
ATG7	AR	no
ATIC	AR	no
ATM	AR	yes
ATOH7	AR	no
ATP11C	XL	no
ATP13A2	AR	yes
ATP13A3	AR	yes
ATP2A1	AR	yes
ATP2B3	XL	no
ATP5F1A	AR	no
ATP5F1E	AR	yes
ATP5MK	AR	no
ATP5PO	AR	yes
ATP6AP1	XL	yes
ATP6AP2	XL	yes
ATP6V0A1	AR	no
ATP6V0A2	AR	no
ATP6V0A4	AR	yes
ATP6V1A	AR	yes
ATP6V1B1	AR	yes
ATP6V1E1	AR	yes
ATP7A	XL	yes
ATP7B	AR	yes
ATP8A2	AR	no
ATP8B1	AR	yes
ATP9A	AR	no
ATPAF2	AR	no
ATR	AR	yes
ATRX	XL	no
AUH	AR	no
AURKC	AR	no
AVIL	AR	no
AVP	AR	yes
AVPR2	XL	yes
AXIN1	AR	yes
B2M	AR	yes
B3GALNT2	AR	no
B3GALT6	AR	no
B3GAT3	AR	yes
B3GLCT	AR	yes
B4GALNT1	AR	no
B4GALT1	AR	yes
B4GALT7	AR	no
B4GAT1	AR	no
B9D1	AR	no
B9D2	AR	no
BAAT	AR	yes
BAG5	AR	yes
BANF1	AR	no
BBIP1	AR	yes
BBS1	AR	yes
BBS10	AR	yes
BBS12	AR	yes
BBS2	AR	yes
BBS4	AR	yes
BBS5	AR	yes
BBS7	AR	yes
BBS9	AR	yes
BCAP31	XL	no
BCAS3	AR	no
BCAT2	AR	yes
BCHE	AR	yes
BCKDHA	AR	yes
BCKDHB	AR	yes
BCKDK	AR	yes
BCL10	AR	yes
BCOR	XL	yes
BCORL1	XL	no
BCS1L	AR	yes
BDP1	AR	no
BET1	AR	no
BFSP1	AR	no
BFSP2	AR	no
BGN	XL	yes
BHLHA9	AR	no
BIN1	AR	no
BLM	AR	yes
BLNK	AR	yes
BLOC1S3	AR	yes
BLOC1S5	AR	yes
BLOC1S6	AR	yes
BLVRA	AR	no
BMP1	AR	no
BMP15	XL	yes
BMP6	AR	no
BMPER	AR	no
BMPR1B	AR	no
BOLA3	AR	no
BORCS8	AR	no
BPGM	AR	yes
BPNT2	AR	no
BRAT1	AR	no
BRCA1	AR	yes
BRCA2	AR	yes
BRDT	AR	no
BRF1	AR	no
BRIP1	AR	yes
BRWD1	AR	yes
BRWD3	XL	no
BSCL2	AR	yes
BSND	AR	yes
BTD	AR	yes
BTG4	AR	no
BTK	XL	yes
BUB1	AR	yes
BUB1B	AR	yes
BVES	AR	yes
C11ORF80	AR	yes
C12ORF4	AR	no
C12ORF57	AR	no
C12ORF65	AR	no
C14ORF39	AR	no
C18ORF32	AR	no
C19ORF12	AR	no
C1GALT1C1	XL	yes
C1QA	AR	yes
C1QB	AR	yes
C1QBP	AR	yes
C1QC	AR	yes
C1S	AR	yes
C2	AR	yes
C2CD3	AR	no
C2CD6	AR	no
C2ORF69	AR	no
C3	AR	yes
C3ORF52	AR	no
C4B	AR	no
C5	AR	yes
C6	AR	yes
C7	AR	yes
C8A	AR	yes
C8B	AR	yes
C8ORF37	AR	yes
C9	AR	yes
CA12	AR	yes
CA2	AR	yes
CA5A	AR	yes
CA8	AR	no
CABP2	AR	yes
CABP4	AR	no
CACNA1D	AR	yes
CACNA1F	XL	no
CACNA2D2	AR	no
CACNA2D4	AR	no
CAD	AR	yes
CALCRL	AR	no
CAMK2A	AR	no
CAMK2G	AR	no
CAMLG	AR	no
CAMSAP1	AR	no
CANT1	AR	yes
CAP2	AR	yes
CAPN1	AR	no
CAPN15	AR	yes
CAPN3	AR	no
CAPNS1	AR	yes
CARD10	AR	yes
CARD11	AR	yes
CARD9	AR	yes
CARMIL2	AR	yes
CARS1	AR	no
CARS2	AR	no
CASK	XL	yes
CASP14	AR	no
CASP2	AR	no
CASP8	AR	yes
CASQ2	AR	yes
CASR	AR	yes
CAST	AR	no
CAT	AR	yes
CATIP	AR	no
CATSPER1	AR	no
CAV1	AR	yes
CAVIN1	AR	no
CBLB	AR	yes
CBLIF	AR	yes
CBS	AR	yes
CBX2	AR	no
CC2D1A	AR	no
CC2D2A	AR	yes
CCBE1	AR	yes
CCDC103	AR	yes
CCDC115	AR	yes
CCDC134	AR	no
CCDC146	AR	no
CCDC174	AR	yes
CCDC22	XL	yes
CCDC32	AR	yes
CCDC34	AR	no
CCDC39	AR	yes
CCDC40	AR	yes
CCDC47	AR	yes
CCDC62	AR	no
CCDC65	AR	yes
CCDC8	AR	no
CCDC88A	AR	no
CCDC88C	AR	no
CCIN	AR	no
CCN2	AR	no
CCN6	AR	no
CCNO	AR	yes
CCNQ	XL	no
CCR2	AR	yes
CCT5	AR	no
CD19	AR	yes
CD247	AR	yes
CD27	AR	yes
CD28	AR	yes
CD2AP	AR	yes
CD320	AR	yes
CD36	AR	yes
CD3D	AR	yes
CD3E	AR	yes
CD3G	AR	yes
CD4	AR	yes
CD40	AR	yes
CD40LG	XL	yes
CD46	AR	yes
CD55	AR	yes
CD59	AR	yes
CD70	AR	yes
CD79A	AR	yes
CD79B	AR	yes
